L8	0.05711965736498743
L6	0.0514856719417288
L7	0.04922740588322736
L9	0.0425603517552556
N7	0.03672417859134717
L6 N2	0.036649629546010844
N10	0.0360393779904841
L10	0.03404980144470909
N8	0.03230231370282985
N6	0.029458161443949065
L5 N2	0.025543386538476584
L7 N2	0.023556380649437304
N9	0.023172011583602787
L11	0.021812022402714612
L4 N4	0.019630876046285235
L4 N2	0.018612672443565702
L8 N2	0.018184825748592006
L6 N1	0.017132421234518778
L7 N1	0.01681220681939348
L12	0.01539197485674177
L3 N4	0.014654308141269883
L5 N4	0.014563888084782494
L8 N1	0.013835498087096085
L6 N4	0.013457276243890499
L5 N3	0.012940574240007689
L5	0.011249417410946304
L6 N3	0.01110758421974421
L9 N1	0.011086460127437513
L5 N1	0.010266644164106255
L4 N3	0.009407709511318155
L3 N3	0.0081451817510196
N11	0.008100474677354638
L2 N4	0.008057555886636274
L7 N3	0.00737353765956234
L9 N2	0.007016104605610961
L7 N4	0.005973870950796513
L1 N6	0.00461902308337981
L2 N6	0.004043531277627574
L8 N4	0.003853302679183157
L3 N6	0.0037076693867195403
L8 N3	0.0036092020569724595
N6 L1	0.0034514978546193024
N5	0.0033738193141264294
L3 N5	0.0030861292950923928
L10 N2	0.003036169140271797
N12	0.002905959788222592
L4 N6	0.002752055687130957
L2 N5	0.0026705770453765623
N4 L2	0.0025599270380557786
L1 N7	0.0024469299093675847
N4 L4	0.002243065653455354
L9 N3	0.0021691872142240026
L6 S1	0.002117438776456808
N1 L6	0.0019567168466312662
N1 L7	0.0019430811891634524
N6 L2	0.0019075390655998068
N4 L3	0.0018734499219302727
L4 N5	0.0018504257789928166
N7 L1	0.001824160373214651
L7 S1	0.0018013597656455198
L10 N1	0.0016857919802215906
L5 N5	0.0016544970286561165
N2 L6	0.0016464497553964233
L5 N6	0.0015989484896274
L8 S1	0.0015981661158382633
L1 N5	0.001520711110713715
L3 N2	0.0015203758076612276
N1 L8	0.0014689626729465202
